student_id,course_id,attendance_rate,avg_session_duration_pct,consecutive_absences,assignment_submission_rate,avg_assignment_score,late_submission_count,exam_score_avg,exam_improvement_trend,at_risk,pass_fail,predicted_grade
s_1048,c_2,0.77,0.544,1,0.626,58.07,2,70.83,-0.0236,0,1,C
s_1049,c_5,0.941,0.934,0,0.861,78.0,0,77.28,0.1347,0,1,A
s_1050,c_5,0.634,0.694,4,0.366,28.56,4,46.09,-0.0801,1,0,F
s_1051,c_4,0.658,0.928,1,0.854,59.8,2,69.49,-0.0064,0,1,C
s_1052,c_2,0.363,0.298,3,0.362,42.63,4,45.04,-0.1889,1,0,F
s_1053,c_2,0.286,0.56,3,0.225,29.04,7,16.64,-0.124,1,0,F
s_1054,c_5,0.621,0.776,1,0.739,55.96,2,76.45,-0.0629,0,1,C
s_1055,c_4,0.337,0.568,4,0.415,40.24,5,45.87,-0.0099,1,0,F
s_1056,c_3,0.825,0.809,0,0.82,84.06,0,97.4,0.0234,0,1,A
s_1057,c_2,0.926,0.992,0,0.932,60.25,0,97.73,0.114,0,1,A
s_1058,c_4,0.919,0.906,1,0.9,78.11,0,82.83,0.0351,0,1,A
s_1059,c_1,0.791,0.714,1,0.553,62.82,2,56.32,0.0659,0,1,C
s_1060,c_4,0.64,0.742,1,0.592,65.36,0,57.47,0.0281,0,1,C
s_1061,c_3,0.626,0.683,1,0.804,52.18,2,59.65,0.0994,0,1,D
s_1062,c_4,0.785,0.865,0,0.627,62.4,0,54.2,0.0613,0,1,C
s_1063,c_5,0.872,0.862,0,0.677,57.98,0,72.46,0.0355,0,1,C
s_1064,c_2,0.707,0.819,0,0.633,46.98,2,71.67,0.0557,1,1,C
s_1065,c_5,0.697,0.574,2,0.925,72.94,0,45.14,0.072,0,0,C
s_1066,c_4,0.899,0.926,0,0.812,96.48,1,77.75,0.0333,0,1,A
s_1067,c_2,0.793,0.551,2,0.851,68.21,1,65.21,-0.0338,0,1,C
s_1068,c_4,0.788,0.847,1,1.0,75.15,0,80.49,0.12,0,1,B
s_1069,c_1,0.602,0.43,2,0.445,48.11,2,56.21,-0.0397,1,0,D
s_1070,c_4,0.585,0.583,0,0.818,76.58,0,75.04,0.0531,0,1,B
s_1071,c_4,0.912,0.9,0,0.917,79.06,2,86.66,0.0774,0,1,A
s_1072,c_1,1.0,1.0,0,0.962,88.58,0,83.01,0.0695,0,1,A
s_1073,c_5,0.806,0.444,0,0.699,57.4,3,61.5,0.1326,1,0,C
s_1074,c_4,0.806,0.63,2,0.834,56.86,1,67.4,0.0541,0,1,C
s_1075,c_2,0.705,0.656,2,0.779,47.83,2,65.55,-0.0309,0,0,D
s_1076,c_5,0.723,0.521,2,0.781,82.02,1,41.11,0.0147,0,0,C
s_1077,c_4,0.911,0.811,1,0.858,78.14,0,83.37,0.1185,0,1,A
s_1078,c_5,0.699,0.598,2,0.776,50.99,2,48.85,0.0367,1,0,D
s_1079,c_3,1.0,1.0,1,0.949,82.55,0,85.44,0.1199,0,1,A
s_1080,c_5,0.434,0.633,4,0.407,33.7,5,33.19,-0.033,1,0,F
s_1081,c_2,0.678,0.558,1,0.753,75.75,2,59.58,-0.009,0,1,C
s_1082,c_5,0.881,0.887,0,0.859,50.79,0,73.74,0.0609,0,1,C
s_1083,c_3,0.906,0.998,0,0.904,72.91,0,77.26,0.0739,0,1,B
s_1084,c_4,0.797,0.806,0,0.796,54.18,1,68.0,-0.0466,0,1,C
s_1085,c_5,0.84,0.468,1,0.701,53.8,1,56.19,0.0563,0,1,C
s_1086,c_2,0.679,0.763,0,0.61,40.0,1,63.72,0.0299,0,0,D
s_1087,c_2,0.73,0.718,0,0.723,55.01,3,58.49,0.0089,0,1,D
s_1088,c_4,0.304,0.316,3,0.416,49.41,3,38.05,0.0298,1,0,F
s_1089,c_2,0.737,0.68,0,0.855,85.33,1,73.78,-0.0337,0,1,B
s_1090,c_5,0.925,1.0,0,0.914,87.41,1,82.88,0.1427,0,1,A
s_1091,c_2,0.799,0.549,0,0.617,89.15,4,44.23,0.0799,0,0,C
s_1092,c_1,0.659,0.896,0,0.797,84.15,4,56.59,-0.0738,0,1,C
s_1093,c_3,0.637,0.71,1,0.623,64.42,3,66.8,0.0642,0,1,C
s_1094,c_4,0.782,0.947,0,0.89,65.57,1,54.89,-0.038,0,1,C
s_1095,c_4,0.732,0.895,0,0.714,70.11,1,71.71,0.0053,0,1,B
s_1096,c_4,0.668,0.845,1,0.669,62.95,1,56.2,-0.0207,0,1,C
s_1097,c_4,0.756,0.864,1,0.705,77.81,3,48.59,0.0171,0,0,C
s_1098,c_5,0.927,0.791,0,1.0,81.46,0,90.2,0.0403,0,1,A
s_1099,c_5,1.0,0.795,0,0.941,81.93,0,77.28,0.1026,0,1,A
s_1100,c_4,0.835,0.974,2,0.953,73.82,0,73.28,0.0171,0,1,B
s_1101,c_2,0.747,0.737,1,0.649,76.4,1,60.18,0.0884,0,1,C
s_1102,c_3,0.733,0.714,1,0.704,61.98,0,55.42,0.1085,0,1,C
s_1103,c_4,0.882,0.661,1,0.598,77.44,2,66.44,0.0085,0,1,B
s_1104,c_5,0.377,0.495,3,0.52,32.92,7,53.28,-0.1065,1,0,F
s_1105,c_3,0.936,0.894,1,0.973,85.34,0,81.69,0.0679,0,1,A
s_1106,c_2,0.707,0.583,1,0.764,76.01,1,56.11,0.0046,0,1,C
s_1107,c_4,0.774,0.806,2,0.754,66.54,1,68.26,0.1441,0,1,C
s_1108,c_3,0.924,0.828,0,0.917,77.21,0,61.03,0.0652,0,1,B
s_1109,c_4,0.952,0.809,0,0.909,86.36,0,89.15,0.0857,0,1,A
s_1110,c_1,0.727,0.839,0,0.785,76.64,0,72.73,0.0401,0,1,B
s_1111,c_4,0.822,0.871,0,0.909,77.16,1,90.89,0.0664,0,1,A
s_1112,c_1,0.413,0.324,3,0.514,46.72,5,42.57,0.0387,1,0,F
s_1113,c_4,0.801,0.725,0,0.5,49.67,1,55.81,0.1467,1,0,D
s_1114,c_1,0.728,0.525,0,0.858,59.22,1,41.37,0.0169,0,0,D
s_1115,c_5,0.363,0.578,5,0.606,46.04,4,41.17,-0.1213,1,0,F
s_1116,c_2,0.582,0.477,1,0.777,70.09,2,72.13,-0.0225,0,1,C
s_1117,c_1,0.948,0.914,0,0.979,84.28,0,74.61,0.1088,0,1,A
s_1118,c_5,0.127,0.342,2,0.678,39.11,2,39.08,-0.1255,1,0,F
s_1119,c_3,0.611,0.869,1,0.771,72.59,3,55.26,0.0317,0,1,C
s_1120,c_1,0.606,0.713,0,0.58,58.54,1,55.96,0.0156,1,1,D
s_1121,c_2,0.424,0.227,5,0.425,37.23,6,32.4,-0.0918,1,0,F
s_1122,c_2,0.579,0.756,0,0.969,51.21,2,61.14,-0.0107,0,1,D
s_1123,c_3,0.882,0.783,0,0.912,86.24,0,78.45,0.0719,0,1,A
s_1124,c_2,0.989,0.84,0,1.0,80.89,0,69.56,0.0871,0,1,B
s_1125,c_2,0.673,0.698,1,0.74,69.09,0,61.03,-0.0122,0,1,C
s_1126,c_2,0.636,0.647,1,0.755,64.49,1,56.78,-0.1272,0,1,C
s_1127,c_3,0.219,0.227,3,0.271,46.72,4,62.45,-0.0625,1,0,F
s_1128,c_1,0.974,0.843,0,0.932,69.42,0,83.71,0.0546,0,1,A
s_1129,c_5,0.613,0.729,1,0.729,88.34,1,74.11,0.1275,0,1,B
s_1130,c_4,0.651,0.755,2,0.802,67.71,0,80.31,0.1037,0,1,B
s_1131,c_4,0.853,0.886,0,0.899,79.7,2,78.17,0.1127,0,1,A
s_1132,c_2,0.918,0.964,0,0.876,74.77,1,80.16,-0.041,0,1,A
s_1133,c_4,0.774,0.737,1,0.961,53.31,1,60.83,0.0934,0,1,C
s_1134,c_4,0.297,0.331,3,0.583,54.47,7,65.0,-0.0478,1,1,D
s_1135,c_5,0.657,0.803,0,0.696,73.57,0,69.98,0.041,0,1,B
s_1136,c_3,0.767,0.758,2,0.688,68.13,1,51.44,0.0685,0,1,C
s_1137,c_4,0.641,0.663,2,0.753,71.09,0,62.01,-0.039,0,1,C
s_1138,c_5,0.765,0.609,1,0.793,61.61,1,53.32,-0.0182,0,1,C
s_1139,c_2,0.623,0.492,4,0.389,28.41,5,49.77,-0.1395,1,0,F
s_1140,c_4,0.7,0.636,2,0.284,54.39,5,48.19,-0.0446,1,0,D
s_1141,c_1,0.759,0.639,0,0.567,64.72,0,56.24,0.0191,0,1,C
s_1142,c_3,0.72,0.699,0,0.846,54.67,0,71.08,-0.042,0,1,C
s_1143,c_4,0.703,0.718,1,0.771,75.6,3,60.76,0.0485,0,1,C
s_1144,c_3,0.645,0.741,0,0.824,66.11,2,52.73,0.0346,0,1,C
s_1145,c_2,0.913,0.885,1,0.935,81.58,0,79.83,0.0658,0,1,A
s_1146,c_1,0.72,0.584,0,0.743,76.12,0,75.98,0.0478,1,0,B
s_1147,c_5,0.742,0.541,1,0.667,79.17,3,71.21,0.0884,0,1,B
s_1148,c_1,0.893,0.845,1,0.952,75.3,2,79.24,0.063,0,1,B
s_1149,c_1,0.687,0.772,0,0.576,66.19,2,59.49,-0.0497,0,1,C
s_1150,c_4,0.412,0.517,4,0.662,38.39,4,30.74,-0.1303,1,0,F
s_1151,c_3,0.947,0.927,0,0.989,74.06,0,66.85,0.0066,1,0,B
s_1152,c_3,0.941,1.0,1,0.961,95.55,1,64.03,0.1194,0,1,A
s_1153,c_1,0.68,0.678,0,0.74,48.57,2,54.35,0.0075,1,0,D
s_1154,c_1,0.478,0.211,4,0.576,65.0,5,50.61,-0.1406,1,1,D
s_1155,c_1,0.99,0.925,0,0.95,77.04,0,92.22,0.0292,0,1,A
s_1156,c_1,0.705,0.75,2,0.679,65.62,2,66.95,0.0219,0,1,C
s_1157,c_2,0.611,0.681,3,0.589,66.85,1,56.17,0.0235,1,1,C
s_1158,c_3,0.808,0.895,0,0.995,81.45,0,80.71,0.1144,0,1,A
s_1159,c_2,0.765,0.745,0,0.59,69.62,1,54.12,0.0194,0,1,C
s_1160,c_4,0.638,0.858,1,0.803,63.78,4,73.55,-0.0091,0,1,C
s_1161,c_5,0.792,0.545,1,0.773,52.97,2,58.56,0.01,1,0,C
s_1162,c_4,0.809,0.446,2,0.756,51.77,2,52.71,-0.0391,0,1,D
s_1163,c_3,0.64,0.741,0,0.824,63.19,4,47.21,-0.0862,1,0,D
s_1164,c_2,0.894,0.826,0,1.0,64.67,0,70.76,0.1173,0,1,B
s_1165,c_2,0.611,0.785,1,0.799,82.02,1,72.19,-0.0184,0,1,B
s_1166,c_4,0.701,0.811,2,0.714,40.0,0,48.22,0.0318,1,0,F
s_1167,c_4,0.803,0.991,0,0.923,88.27,0,86.09,0.1172,0,1,A
s_1168,c_3,0.775,0.906,0,0.971,59.53,0,68.21,0.0257,0,1,C
s_1169,c_3,0.831,0.591,1,0.898,60.19,2,52.61,-0.0454,0,1,C
s_1170,c_2,0.791,0.61,1,0.715,54.62,1,63.47,-0.095,0,1,C
s_1171,c_1,0.743,0.856,1,0.875,82.64,0,84.42,0.128,0,1,A
s_1172,c_5,0.828,0.819,1,0.773,69.98,2,57.35,0.0506,0,1,C
s_1173,c_4,0.874,0.843,0,0.974,89.13,0,61.08,0.1047,0,1,B
s_1174,c_1,0.79,0.802,0,0.744,69.55,0,71.79,0.0445,0,1,B
s_1175,c_4,0.737,0.988,0,0.868,79.61,2,81.78,0.0649,0,1,B
s_1176,c_4,0.571,0.822,2,0.672,65.03,1,62.3,0.0161,0,1,C
s_1177,c_2,0.597,0.648,1,0.739,72.03,3,46.25,0.0458,1,0,D
s_1178,c_3,0.7,0.351,3,0.427,38.42,7,60.03,0.0003,1,0,D
s_1179,c_2,0.933,0.987,2,0.955,78.66,1,77.75,0.0666,0,1,A
s_1180,c_2,0.871,0.626,2,0.565,55.7,1,52.89,-0.0298,1,1,C
s_1181,c_4,0.966,0.777,2,0.887,81.41,0,77.25,0.0893,0,1,A
s_1182,c_1,0.317,0.436,4,0.656,56.46,4,20.48,0.05,1,0,F
s_1183,c_5,0.203,0.475,2,0.75,33.27,3,49.77,0.011,1,0,F
s_1184,c_1,0.697,0.695,1,0.717,48.76,4,74.37,-0.01,1,0,C
s_1185,c_4,0.89,0.698,0,0.785,67.98,2,35.0,0.0449,0,0,D
s_1186,c_1,0.877,0.855,0,0.7,67.63,0,65.95,0.0441,1,0,B
s_1187,c_2,0.65,0.596,0,0.743,57.84,2,79.76,0.0698,0,1,C
s_1188,c_3,0.693,0.807,1,0.842,58.07,1,43.55,0.0156,0,0,D
s_1189,c_2,0.872,0.998,0,0.894,88.59,1,86.99,0.0681,0,1,A
s_1190,c_5,1.0,0.876,0,0.906,91.17,0,82.19,0.1471,0,1,A
s_1191,c_5,0.379,0.445,3,0.597,32.92,2,51.58,-0.0911,1,0,F
s_1192,c_1,0.569,0.501,5,0.346,48.96,3,27.89,-0.1378,1,0,F
s_1193,c_2,0.585,0.541,2,0.683,75.06,3,60.62,0.0297,0,1,C
s_1194,c_3,0.63,0.608,0,0.703,75.33,1,65.13,0.0231,0,1,C
s_1195,c_5,0.699,0.696,0,0.518,54.34,2,59.56,-0.1346,1,1,D
s_1196,c_4,0.818,0.81,1,0.722,69.25,1,59.61,-0.0085,0,1,C
s_1197,c_1,0.315,0.374,3,0.32,30.29,5,45.36,-0.0773,1,0,F
s_1198,c_5,0.651,0.1,4,0.32,51.42,4,55.2,-0.0969,1,0,D
s_1199,c_2,0.716,0.932,3,0.785,64.55,1,65.21,-0.0155,0,1,C
s_1200,c_4,0.452,0.731,0,1.0,53.88,2,49.94,0.0603,0,1,D
s_1201,c_3,0.974,0.946,0,0.914,82.69,0,80.4,-0.0104,0,1,A
s_1202,c_5,0.844,0.875,0,0.913,87.53,0,72.54,0.0906,0,1,A
s_1203,c_3,0.337,0.436,4,0.682,54.73,4,36.12,-0.0891,1,0,F
s_1204,c_5,0.831,0.651,2,0.895,51.11,0,43.73,0.1192,0,0,D
s_1205,c_3,0.994,0.79,1,0.882,92.05,0,67.66,-0.0005,0,1,A
s_1206,c_3,1.0,0.851,1,1.0,82.05,0,92.76,0.0472,0,1,A
s_1207,c_3,0.759,0.553,2,0.79,71.56,2,84.85,0.0953,0,1,B
s_1208,c_5,0.936,0.962,1,0.986,71.21,0,79.55,0.1077,0,1,B
s_1209,c_4,0.89,0.983,0,0.992,83.97,0,83.53,0.1064,0,1,A
s_1210,c_4,0.794,0.798,0,0.731,50.13,0,72.29,-0.0022,0,1,C
s_1211,c_5,0.73,0.668,0,0.817,62.08,4,65.69,0.029,0,1,C
s_1212,c_3,0.796,0.773,2,0.74,59.96,0,61.57,0.0019,0,1,C
s_1213,c_4,0.828,0.969,0,0.918,80.04,1,62.24,0.0036,0,1,B
s_1214,c_3,0.897,0.641,0,0.8,51.01,3,59.73,0.0436,0,1,C
s_1215,c_3,0.724,0.771,0,0.923,89.0,1,83.89,0.0803,0,1,A
s_1216,c_3,0.614,0.878,3,0.75,52.23,2,73.13,0.0905,0,1,C
s_1217,c_3,0.795,0.772,1,0.618,87.36,3,63.86,-0.014,1,1,B
s_1218,c_2,0.805,0.76,2,0.754,70.58,1,49.86,-0.0088,0,0,C
s_1219,c_4,0.735,0.792,1,0.703,63.49,0,53.12,0.0011,0,1,C
s_1220,c_1,0.801,0.571,1,0.794,65.01,2,75.34,-0.0202,0,1,B
s_1221,c_1,0.745,0.798,3,0.869,63.8,0,56.32,-0.0018,0,1,C
s_1222,c_2,0.951,0.905,0,1.0,82.06,0,77.14,0.0164,0,1,A
s_1223,c_5,0.709,0.607,1,0.709,60.16,2,57.06,0.0754,0,1,C
s_1224,c_2,0.682,0.74,0,0.747,56.52,1,76.87,0.0269,0,1,C
s_1225,c_2,0.818,0.881,0,0.924,65.79,0,61.03,0.0603,0,1,C
s_1226,c_5,0.32,0.242,2,0.544,20.53,7,27.97,-0.0388,1,0,F
s_1227,c_2,0.602,0.64,1,0.745,82.04,1,57.33,0.0721,0,1,C
s_1228,c_4,0.506,0.344,3,0.589,45.38,6,42.56,0.0141,1,0,F
s_1229,c_3,0.942,0.681,0,0.54,73.64,2,64.38,-0.0558,0,1,B
s_1230,c_3,0.659,0.635,2,0.788,63.09,4,49.85,0.0232,1,0,D
s_1231,c_1,0.844,0.595,1,0.998,87.67,1,69.37,0.0919,0,1,B
s_1232,c_3,0.855,0.783,0,0.541,59.15,0,71.12,0.0084,0,1,C
s_1233,c_5,0.749,0.678,1,0.909,62.94,0,35.0,-0.02,0,0,D
s_1234,c_5,0.863,0.991,1,0.894,71.12,0,84.91,0.0908,0,1,B
s_1235,c_3,0.512,0.907,2,0.595,61.99,0,55.73,0.0298,1,1,D
s_1236,c_5,0.678,0.564,2,0.893,58.85,0,53.96,0.0555,0,1,D
s_1237,c_2,0.8,0.795,0,0.88,78.89,0,62.94,0.0472,0,1,B
s_1238,c_3,0.771,0.724,0,0.908,74.85,1,65.64,0.042,0,1,B
s_1239,c_3,0.861,0.718,0,0.806,84.63,0,72.02,0.1241,0,1,B
s_1240,c_5,0.453,0.484,6,0.439,53.42,3,35.54,-0.1249,1,0,F
s_1241,c_5,0.463,0.1,3,0.75,40.53,5,48.07,0.0265,1,0,F
s_1242,c_1,0.421,0.672,5,0.576,33.37,6,58.52,-0.1295,1,0,F
s_1243,c_5,0.887,0.648,3,0.852,67.91,2,61.38,-0.0681,0,1,C
s_1244,c_4,0.766,0.875,0,0.857,78.09,0,86.2,0.0853,0,1,A
s_1245,c_3,0.313,0.478,5,0.734,47.64,4,50.64,-0.0736,1,0,F
s_1246,c_3,0.708,0.711,1,0.647,64.03,4,78.68,0.0461,0,1,B
s_1247,c_4,0.307,0.462,2,0.188,51.99,7,17.2,-0.1402,1,0,F
s_1248,c_3,0.453,0.38,3,0.454,47.36,2,50.38,-0.0586,1,0,F
s_1249,c_5,0.257,0.24,5,0.288,37.36,2,22.25,-0.2783,1,0,F
s_1250,c_2,0.869,0.752,2,0.663,58.4,0,56.13,0.0235,0,1,C
s_1251,c_4,0.717,0.638,1,0.795,55.18,4,80.96,0.0399,0,1,C
s_1252,c_5,0.49,0.314,6,0.362,47.69,4,13.59,0.0001,1,0,F
s_1253,c_4,0.811,0.683,3,0.91,61.43,1,42.62,0.028,0,0,D
s_1254,c_3,0.868,0.884,1,0.904,75.69,0,73.13,0.0941,0,1,B
s_1255,c_2,0.632,0.566,2,0.745,58.61,1,49.35,-0.049,1,0,D
s_1256,c_1,0.275,0.133,5,0.488,40.53,4,21.62,-0.109,1,0,F
s_1257,c_1,0.787,0.488,0,0.741,69.2,2,76.39,-0.0607,0,1,B
s_1258,c_4,0.855,0.643,0,0.915,75.71,2,66.88,-0.0591,0,1,B
s_1259,c_3,0.743,0.981,0,0.912,70.32,1,70.44,0.0688,1,0,B
s_1260,c_1,0.607,0.741,0,0.799,61.42,3,55.47,0.0036,0,1,D
s_1261,c_4,0.346,0.607,3,0.304,61.95,4,65.0,0.011,1,0,D
s_1262,c_2,0.985,0.858,1,0.888,74.3,1,60.13,0.0495,0,1,B
s_1263,c_5,0.804,0.744,2,0.738,82.68,2,45.97,0.0263,0,0,C
s_1264,c_5,0.359,0.518,2,0.329,28.85,4,36.93,-0.0689,1,0,F
s_1265,c_1,0.828,0.631,0,0.624,54.07,0,65.36,-0.0381,0,1,C
s_1266,c_2,0.734,0.565,0,0.763,61.26,1,64.7,-0.15,0,1,C
s_1267,c_4,0.781,0.834,1,0.709,72.12,1,47.54,0.116,0,0,C
s_1268,c_1,0.721,0.952,1,0.744,61.17,0,68.11,0.1558,0,1,C
s_1269,c_2,0.625,0.619,2,0.809,61.04,0,71.9,0.0371,0,1,C
s_1270,c_2,0.788,0.693,0,0.874,78.11,0,49.19,0.0465,0,0,C
s_1271,c_4,0.691,0.446,3,0.708,44.74,0,59.96,-0.0093,0,0,D
s_1272,c_4,0.553,0.616,4,0.75,43.47,6,58.33,-0.1093,1,0,D
s_1273,c_4,0.452,0.7,2,0.479,35.43,3,39.75,-0.026,1,0,F
s_1274,c_5,0.561,0.805,2,0.88,83.39,0,59.42,0.0186,0,1,C
s_1275,c_4,0.841,0.908,0,0.66,76.73,2,40.33,0.0525,0,0,C
s_1276,c_5,0.713,0.796,1,0.818,61.85,2,50.89,-0.0538,0,1,D
s_1277,c_1,0.628,0.863,0,0.752,62.0,3,62.88,0.0432,0,1,C
s_1278,c_4,0.876,0.57,3,0.696,51.54,1,53.25,-0.001,1,1,D
s_1279,c_3,0.848,0.741,0,0.668,48.67,2,49.31,0.0782,1,0,D
s_1280,c_1,0.576,0.631,2,0.213,50.65,6,43.53,-0.092,1,0,F
s_1281,c_4,0.674,0.491,1,0.714,69.16,0,90.0,-0.0285,0,1,B
s_1282,c_3,0.822,0.756,3,0.675,64.55,0,66.18,-0.0008,0,1,C
s_1283,c_3,0.824,0.947,0,0.98,81.91,1,92.31,0.1087,0,1,A
s_1284,c_4,0.821,0.79,0,0.755,71.97,2,56.34,0.0623,0,1,C
s_1285,c_2,1.0,0.834,0,0.971,78.9,0,79.96,0.0311,0,1,A
s_1286,c_3,0.706,0.861,0,0.652,64.98,0,65.39,0.0082,1,0,C
s_1287,c_5,0.649,0.934,1,0.767,70.11,4,61.15,-0.0617,0,1,C
s_1288,c_3,0.636,0.64,1,0.761,60.82,2,53.54,-0.0057,0,1,D
s_1289,c_4,0.747,0.477,1,0.641,67.88,0,63.73,0.0712,0,1,C
s_1290,c_4,0.934,1.0,0,0.947,55.0,0,87.25,0.0474,0,1,B
s_1291,c_5,0.851,0.952,1,0.956,59.74,0,79.68,0.1036,0,1,B
s_1292,c_2,0.773,0.854,0,0.786,50.27,1,58.73,0.0141,0,1,D
s_1293,c_1,0.804,0.725,0,0.721,50.51,0,66.68,0.0351,0,1,C
s_1294,c_3,0.846,0.881,0,0.927,85.87,0,77.0,0.0861,0,1,A
s_1295,c_5,0.83,0.932,0,0.765,58.86,2,45.01,0.0179,0,0,D
s_1296,c_4,0.634,0.798,1,0.853,61.66,4,58.22,0.0445,0,1,C
s_1297,c_1,0.974,1.0,2,0.891,73.61,0,54.16,0.1476,0,1,B
s_1298,c_4,0.556,0.714,0,0.848,43.94,0,49.75,0.1162,1,0,F
s_1299,c_2,0.875,0.885,2,0.962,80.46,0,66.43,0.0781,0,1,B
s_1300,c_3,0.943,0.963,0,0.979,79.62,0,69.92,0.0144,0,1,B
s_1301,c_3,0.839,0.566,3,0.742,82.58,2,69.44,0.0967,1,0,B
s_1302,c_5,0.842,0.595,1,0.87,67.83,2,53.25,0.0355,0,1,C
s_1303,c_1,0.834,0.936,0,0.878,71.33,4,42.97,0.123,0,0,C
s_1304,c_1,0.662,0.559,1,0.487,59.79,1,78.47,0.1215,0,0,C
s_1305,c_1,0.358,0.299,3,0.422,24.96,2,28.45,0.0058,1,0,F
s_1306,c_1,0.786,0.799,1,0.639,64.64,0,81.9,-0.0785,0,1,B
s_1307,c_1,0.639,0.492,3,0.719,63.02,1,54.61,0.0168,1,1,D
s_1308,c_5,0.631,0.661,0,0.616,73.51,1,64.51,-0.0487,0,1,C
s_1309,c_2,0.69,0.857,2,0.764,73.27,0,52.85,-0.0283,0,1,C
s_1310,c_5,0.921,0.536,1,0.806,56.9,2,68.71,0.1095,1,0,C
s_1311,c_2,0.994,0.975,1,1.0,68.16,0,82.32,0.0899,0,1,A
